,L1,L2,L_inf,"('Deep_CNN', 'Loss')","('Deep_CNN', 'Acc')","('ResNet20', 'Loss')","('ResNet20', 'Acc')","('ResNet56', 'Loss')","('ResNet56', 'Acc')","('Densenet121', 'Loss')","('Densenet121', 'Acc')"
Deep_CNN,11.973191396110057,0.21667053555266402,0.003921598296656322,1.8091354843139649,0.5164,0.5141887199401856,0.8601,0.5129645267486572,0.8639,0.48322454051971436,0.8739
ResNet20,11.973720039888194,0.21667569598628048,0.003921598296644634,0.5544157936096191,0.8651,3.3767729320526123,0.3922,0.5657293685913086,0.8606,0.45844186944961546,0.8954
ResNet56,11.974106318612066,0.21667940588005052,0.003921598296469326,0.52570197660923,0.8845,0.5409046566009521,0.8809,3.1201868436813354,0.4613,0.4286384917259216,0.9149
Densenet121,11.974388644599758,0.21668168633351242,0.003921598298304214,0.5624104458063841,0.8735,0.5590697853595018,0.8766,0.5569420181214809,0.8765,1.1366089206695558,0.7111
