,L1,L2,L_inf,"('Xception', 'Loss')","('Xception', 'Acc')","('InceptionV3', 'Loss')","('InceptionV3', 'Acc')","('InceptionResnetV2', 'Loss')","('InceptionResnetV2', 'Acc')"
Xception,133.6740264892578,0.5278609395027161,0.0349465012550354,0.8170199559529623,0.088,0.3385677007039388,0.877333333492279,0.3375277393658956,0.8800000001589457
InceptionV3,150.937744140625,0.6859997510910034,0.05136273801326752,0.38197806290785474,0.8706666661898295,0.8253861233393351,0.09866666672627131,0.376016633272171,0.8706666661898295
InceptionResnetV2,558.9886474609375,1.7013803720474243,0.05643318593502045,0.11580987213055292,0.9906666666666667,0.11566128466526668,0.9906666666666667,0.8772505429585775,0.008
