,0,1,2,3
Deep_CNN,0.29806621456146243,0.93516,0.4428189767837524,0.8906
ResNet20,0.20886164472579957,0.97128,0.41999426259994505,0.9089
ResNet56,0.16478216485977173,0.98742,0.39918365836143493,0.925
Densenet121,0.013827058857092634,0.99602,0.5406654590934515,0.8807
