,L1,L2,L_inf,"('Xception', 'Loss')","('Xception', 'Acc')","('InceptionV3', 'Loss')","('InceptionV3', 'Acc')","('InceptionResnetV2', 'Loss')","('InceptionResnetV2', 'Acc')"
Xception,13321.861328125,25.976959228515625,0.05098041892051697,9.811864071415135,0.328,2.423090149362882,0.46,1.1470674846371014,0.6306666666666667
InceptionV3,13319.65234375,25.973989486694336,0.05098041892051697,2.190226635535558,0.47733333333333333,5.728130377451579,0.24400000023841859,1.057958328485489,0.6573333334922791
InceptionResnetV2,13317.4970703125,25.971670150756836,0.05098041892051697,0.11394899962345759,0.9906666666666667,0.11495962369441987,0.9906666666666667,0.4215128854115804,0.9066666663487752
