,L1,L2,L_inf,"('Deep_CNN', 'Loss')","('Deep_CNN', 'Acc')","('ResNet20', 'Loss')","('ResNet20', 'Acc')","('ResNet56', 'Loss')","('ResNet56', 'Acc')","('Densenet121', 'Loss')","('Densenet121', 'Acc')"
Deep_CNN,11.97399306621032,0.2166780971846886,0.003921598296562824,1.64088955783844,0.5429,0.5283698989391327,0.8561,0.5295535397529602,0.8577,0.483925390625,0.873
ResNet20,11.974047568903625,0.2166787281032729,0.003921598298000348,0.5692315888881684,0.8571,3.017516542053223,0.4226,0.6006015474796296,0.8508,0.4591809392929077,0.894
ResNet56,11.974034229848655,0.21667861513125422,0.003921598298561333,0.5465362355947494,0.8766,0.5517745923995971,0.8782,3.4309417022705078,0.4466,0.42933293046951293,0.913
Densenet121,11.974431872255794,0.21668211241329463,0.0039215982977899785,0.5676134507119656,0.8719,0.5628303227365017,0.8751,0.5601853986829519,0.8756,1.0650706829071044,0.7188
