,L1,L2,L_inf,"('Xception', 'Loss')","('Xception', 'Acc')","('InceptionV3', 'Loss')","('InceptionV3', 'Acc')","('InceptionResnetV2', 'Loss')","('InceptionResnetV2', 'Acc')"
Xception,1043.662353515625,2.0228869915008545,0.003921598196029663,2.956260202407837,0.2960000000397364,0.33587802918752035,0.8800000001589457,0.3316050831476847,0.8826666668256123
InceptionV3,1043.67919921875,2.022908926010132,0.003921598196029663,0.3852662528355916,0.8626666661898295,2.480968119939168,0.39866666690508523,0.377208970506986,0.8719999995231629
InceptionResnetV2,1043.536865234375,2.0227622985839844,0.003921598196029663,0.1158196394443512,0.9906666666666667,0.11594284315903981,0.9906666666666667,0.39622215247154235,0.9186666661898295
