,L1,L2,L_inf,"('Deep_CNN', 'Loss')","('Deep_CNN', 'Acc')","('ResNet20', 'Loss')","('ResNet20', 'Acc')","('ResNet56', 'Loss')","('ResNet56', 'Acc')","('Densenet121', 'Loss')","('Densenet121', 'Acc')"
Deep_CNN,5.400828194935103,0.14373223788649694,0.017553353579565185,1.005733639717102,0.068,0.46134488892555237,0.8825,0.4629484339237213,0.883,0.4991076085090637,0.8676
ResNet20,3.520490583103121,0.09298577814994322,0.011292798667190363,0.46187635087966916,0.8901,0.9912775672912598,0.0594,0.44520615072250364,0.8972,0.4701335130214691,0.8915
ResNet56,3.2198132751774255,0.0865208878184643,0.011044395965132094,0.44262770256996153,0.905,0.41805148963928224,0.9143,0.9866934331893921,0.0517,0.43378743762969973,0.912
Densenet121,11.502095423283336,0.2901291605421895,0.030387859434503197,0.550986845099926,0.8768,0.5467284743726254,0.8786,0.5459465542972088,0.8789,1.0212249685287476,0.0738
