,L1,L2,L_inf,"('Xception', 'Loss')","('Xception', 'Acc')","('InceptionV3', 'Loss')","('InceptionV3', 'Acc')","('InceptionResnetV2', 'Loss')","('InceptionResnetV2', 'Acc')"
Xception,9618.0537109375,20.376554489135742,0.05098041892051697,14.82022290802002,0.07066666678587595,3.498206314563751,0.4120000003178914,0.674003476858139,0.7813333328564962
InceptionV3,9944.44140625,20.912307739257812,0.05098041892051697,1.7598795924186708,0.5693333330154419,14.665500531514486,0.0826666667262713,0.7302192296187083,0.7773333330154419
InceptionResnetV2,7590.34130859375,16.860458374023438,0.05098041892051697,0.1140148630340894,0.9906666666666667,0.11031801625092824,0.992,15.569946545918782,0.008
