,L1,L2,L_inf,"('Xception', 'Loss')","('Xception', 'Acc')","('InceptionV3', 'Loss')","('InceptionV3', 'Acc')","('InceptionResnetV2', 'Loss')","('InceptionResnetV2', 'Acc')"
Xception,8252.2236328125,16.056182861328125,0.03137258067727089,7.62911251282692,0.3026666668256124,1.200142999112606,0.632,0.5993466051419576,0.8026666661898295
InceptionV3,8251.291015625,16.054903030395508,0.03137258067727089,1.076394656419754,0.6586666668256124,6.071152022043864,0.21733333337306976,0.7094979925950369,0.7706666663487752
InceptionResnetV2,8250.080078125,16.053668975830078,0.03137258067727089,0.11499953585863114,0.992,0.11447856146097184,0.9906666666666667,0.4564590313434601,0.8906666663487752
