,L1,L2,L_inf,"('Deep_CNN', 'Loss')","('Deep_CNN', 'Acc')","('ResNet20', 'Loss')","('ResNet20', 'Acc')","('ResNet56', 'Loss')","('ResNet56', 'Acc')","('Densenet121', 'Loss')","('Densenet121', 'Acc')"
Deep_CNN,153.59815626644715,2.7914154528392467,0.050980421829071705,5.910919797515869,0.0782,4.446578134918213,0.1904,4.713064717102051,0.1881,3.2865501487731934,0.2693
ResNet20,153.58691508192405,2.7912787105142307,0.050980421829913185,6.470341137695312,0.1501,7.47921692199707,0.1084,6.21423837890625,0.1834,4.401197812652588,0.259
ResNet56,153.5877923303945,2.79128895638323,0.050980421830497544,5.622027294921875,0.2112,4.885450691223144,0.268,7.4833496475219725,0.1279,3.991626672363281,0.3431
Densenet121,153.61613035792843,2.791605611041051,0.050980421829936555,2.262595306968689,0.6091,1.7324949433803558,0.6762,1.5300674892902375,0.7141,10.356041395568848,0.1091
