,L1,L2,L_inf,"('Xception', 'Loss')","('Xception', 'Acc')","('InceptionV3', 'Loss')","('InceptionV3', 'Acc')","('InceptionResnetV2', 'Loss')","('InceptionResnetV2', 'Acc')"
Xception,3116.882080078125,6.048886299133301,0.011764734983444214,4.9311678524017335,0.26266666674613953,0.37138173707326255,0.869333333492279,0.32863702646891274,0.885333333492279
InceptionV3,3116.756591796875,6.0486931800842285,0.011764734983444214,0.43152848410606387,0.8426666668256124,5.061195003509521,0.23333333345254262,0.40113277661800384,0.869333333492279
InceptionResnetV2,3116.293701171875,6.048202991485596,0.011764734983444214,0.11649880101283391,0.992,0.11594534178574879,0.992,0.4594998434384664,0.8826666668256123
