,L1,L2,L_inf,"('Deep_CNN', 'Loss')","('Deep_CNN', 'Acc')","('ResNet20', 'Loss')","('ResNet20', 'Acc')","('ResNet56', 'Loss')","('ResNet56', 'Acc')","('Densenet121', 'Loss')","('Densenet121', 'Acc')"
Deep_CNN,94.98071648942532,1.7233655000623676,0.03137257868907031,5.858096639251709,0.0963,2.9130185581207275,0.3579,3.0026234146118163,0.356,2.068193635368347,0.4817
ResNet20,94.97553530631274,1.7232966594696837,0.031372578691734994,4.44790941696167,0.2882,7.046469813537597,0.1296,4.190194729614258,0.3163,2.482337791633606,0.4931
ResNet56,94.97624275045007,1.723307620158962,0.031372578691594745,4.045442916870117,0.357,3.5206373332977297,0.4097,7.744593817901611,0.1521,2.167581464958191,0.5799
Densenet121,94.9896564680658,1.7234591843458438,0.03137257869089351,1.2638765660285949,0.7394,1.016548121190071,0.7806,0.9331848520755768,0.7985,9.257453915405273,0.1476
