epoch,acc,loss,lr,val_acc,val_loss
0,0.48304,1.7625087967681885,0.001,0.4579,2.0776765915870667
1,0.6155,1.3525753842926025,0.001,0.612,1.3173893567085266
2,0.66816,1.1919569273376465,0.001,0.5996,1.5426371249198914
3,0.69936,1.0876957482910157,0.001,0.5533,1.5328939268112183
4,0.725,1.01892828458786,0.001,0.6797,1.215579529762268
5,0.742,0.9689360480308533,0.001,0.7464,0.966037095117569
6,0.75336,0.9303902202987671,0.001,0.664,1.3491881356716156
7,0.7621,0.900357922000885,0.001,0.7025,1.2096495032787322
8,0.77588,0.8705421377372742,0.001,0.7572,0.9661432032585144
9,0.7849,0.8478527826881409,0.001,0.7479,0.9629643374443054
10,0.7882,0.823327991027832,0.001,0.7265,1.0636886834621428
11,0.79508,0.8071027200126648,0.001,0.7629,0.945231751203537
12,0.8032,0.7887617204284668,0.001,0.7728,0.9098734534263611
13,0.80696,0.7728129301261902,0.001,0.7859,0.8645140261173249
14,0.81074,0.7617865476799012,0.001,0.7603,0.9367866199016571
15,0.81564,0.7481694305419921,0.001,0.6782,1.2446803260803223
16,0.81682,0.7406209496307373,0.001,0.7529,0.9954842158794404
17,0.82074,0.7312160830688477,0.001,0.7167,1.2021103200435639
18,0.82484,0.7223156212997437,0.0003162278,0.7682,0.9479911572933197
19,0.82746,0.7162847769737244,0.001,0.7873,0.8513566755533218
20,0.8307,0.7016413235855102,0.001,0.6955,1.2548383742332458
21,0.83346,0.6971917642402649,0.001,0.7439,1.003412077474594
22,0.83644,0.6898059783363343,0.001,0.7821,0.8594210433483124
23,0.83462,0.6866584342765808,0.001,0.771,0.8790412473201752
24,0.84144,0.6755258076667786,0.0003162278,0.7792,0.9413323668956757
25,0.83912,0.6747971062469482,0.001,0.8008,0.8348100810527802
26,0.84264,0.6653997533607483,0.001,0.8105,0.7821174406051635
27,0.845,0.660807676153183,0.001,0.82,0.7711170710802078
28,0.84508,0.6591681862068176,0.001,0.7899,0.8907713419914246
29,0.84778,0.6528091754722595,0.001,0.7949,0.8403110662460327
30,0.8496,0.6471219258499146,0.001,0.7958,0.8336710192680359
31,0.84698,0.6463973175811768,0.001,0.7658,0.9522564239025116
32,0.8537,0.6351416402053833,0.001,0.8255,0.7351633187294007
33,0.85236,0.6353662823867798,0.001,0.8351,0.7128488626956939
34,0.85482,0.6290069386959076,0.001,0.732,1.1191700047016144
35,0.85502,0.6308402488613128,0.001,0.7989,0.8576282532215118
36,0.85712,0.6235354402542114,0.001,0.8219,0.7337876302242279
37,0.85556,0.6239387832069397,0.001,0.8312,0.7047497112751007
38,0.85788,0.6191193025016785,0.001,0.7656,0.9667852012634277
39,0.8575,0.6153294220733643,0.001,0.796,0.8730099246501922
40,0.86204,0.6069768862724304,0.001,0.8327,0.7169737271547317
41,0.86426,0.6046154333019257,0.001,0.7725,0.9412892688274384
42,0.86192,0.6097704107856751,0.0003162278,0.7967,0.8474260274410248
43,0.86112,0.6046097953605651,0.001,0.7967,0.8526823941469193
44,0.86372,0.6013350946807862,0.001,0.8011,0.8286390194654465
45,0.86396,0.6009539055252076,0.001,0.8258,0.7673080595970154
46,0.86626,0.5937207122802735,0.001,0.8384,0.713955287528038
47,0.86368,0.5955550348281861,0.001,0.8369,0.6895189921379089
48,0.86584,0.5936507733535766,0.001,0.8312,0.7292042824506759
49,0.86686,0.5871107475852966,0.001,0.851,0.6552168858528137
50,0.86646,0.5877613251399993,0.001,0.7984,0.840142236661911
51,0.8683,0.5863118094635009,0.001,0.8263,0.7225598348140716
52,0.8688,0.5839033038520813,0.001,0.8291,0.7359496886730195
53,0.86876,0.5823873148155212,0.001,0.8316,0.73663870677948
54,0.87116,0.5754720952224731,0.0003162278,0.7799,0.8930884322881698
55,0.87058,0.5780549666213989,0.001,0.8334,0.701061018872261
56,0.87224,0.5742950810241699,0.001,0.8334,0.7187793205022812
57,0.873,0.5685887104415893,0.001,0.8006,0.8283131258010864
58,0.87188,0.5762915661430359,0.001,0.8455,0.6835484030485153
59,0.87338,0.5694131161403656,0.0003162278,0.7995,0.8341132190942764
60,0.87474,0.5673522656440735,0.001,0.7732,0.9566657829284668
61,0.8734,0.5647941114616394,0.001,0.8034,0.8505701032161712
62,0.8709,0.5706407962799073,0.001,0.7761,0.9530848354578019
63,0.87366,0.5688869446182251,0.001,0.8247,0.770054902791977
64,0.87484,0.5633111917877197,0.0003162278,0.8381,0.7031789467811584
65,0.87436,0.5605211548233032,0.001,0.8483,0.6574238809108734
66,0.87516,0.561293546295166,0.001,0.8107,0.8145209814548492
67,0.87624,0.558350955324173,0.001,0.8089,0.7721321590662003
68,0.87708,0.5568022470664978,0.001,0.8638,0.613138866853714
69,0.87682,0.5599700862312317,0.001,0.8303,0.7233867605924607
70,0.87846,0.5529805617046356,0.001,0.7963,0.9083772861242294
71,0.88122,0.5494161247253418,0.001,0.8205,0.7719243354558945
72,0.8782,0.5554088624572754,0.001,0.8077,0.8125435158014297
73,0.87928,0.5505176923179627,0.0003162278,0.8339,0.7012956996917724
74,0.87852,0.5504647327136993,0.001,0.8255,0.7606055031299591
75,0.87962,0.5499332181549073,0.001,0.8195,0.7691325083494186
76,0.87804,0.5505021853256226,0.001,0.7694,0.9265108474254609
77,0.87952,0.5465165225982666,0.001,0.8104,0.7902282656908035
78,0.8792,0.5425854697418213,0.0003162278,0.8471,0.6914102434873581
79,0.87852,0.5463306292724609,0.001,0.8282,0.7285666022777557
80,0.882,0.5434496168708801,0.001,0.8604,0.6250898022413254
81,0.90996,0.4587578839206696,1e-04,0.895,0.5157936280727387
82,0.9229,0.42333305800437926,1e-04,0.9017,0.4881681771278381
83,0.92474,0.4094158058643341,1e-04,0.8991,0.49247853281497955
84,0.92678,0.39727382331848143,1e-04,0.8999,0.49585964770317076
85,0.9297,0.3899499576759338,1e-04,0.9007,0.4857320185184479
86,0.93096,0.3798883296251297,1e-04,0.904,0.474240062046051
87,0.933,0.3732616321659088,1e-04,0.901,0.4786961117744446
88,0.93482,0.36672985754966736,1e-04,0.9026,0.47510460085868833
89,0.93334,0.3640858482170105,1e-04,0.904,0.4709890599727631
90,0.93834,0.34976190046310424,1e-04,0.9032,0.4692838478565216
91,0.9386,0.34827794635295867,1e-04,0.8995,0.47847702984809876
92,0.9385,0.3459679280948639,1e-04,0.9008,0.4734839677810669
93,0.93948,0.34062066184520723,1e-04,0.9031,0.4659721194267273
94,0.94022,0.3370241872596741,1e-04,0.9041,0.4569894681692123
95,0.94108,0.33114814464092257,1e-04,0.9038,0.45840776810646056
96,0.94064,0.32745233632087706,1e-04,0.9035,0.46361331617832185
97,0.94186,0.32562575554847717,1e-04,0.904,0.4584509459733963
98,0.94286,0.321936385307312,1e-04,0.9019,0.45535460805892947
99,0.94324,0.31695416152954103,1e-04,0.9028,0.45761218175888063
100,0.94428,0.316284468832016,1e-04,0.9034,0.44777778630256654
